host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
2571,2008-08-27,"Brooklyn, New York, United States",within a few hours,0.93,0.67,True,1.0,True,True
2782,2008-09-07,"New York, New York, United States",within a day,1.0,0.57,True,2.0,True,True
2787,2008-09-07,"New York, New York, United States",within an hour,1.0,0.97,True,8.0,True,False
2868,2008-09-10,"New York, New York, United States",within a day,1.0,0.0,False,1.0,True,False
2881,2008-09-10,"Brooklyn, New York",within an hour,1.0,0.95,True,5.0,True,True
3647,2008-10-14,"New York, New York, United States",within an hour,1.0,0.71,True,4.0,True,True
4396,2008-11-19,"New York, New York, United States",within a few hours,0.89,0.51,False,3.0,True,True
4869,2008-12-07,"New York, New York, United States",within a few hours,0.98,0.93,False,1.0,True,True
5089,2008-12-12,"Brooklyn, New York, United States",within an hour,1.0,1.0,False,1.0,True,True
7209,2009-01-29,"New York, New York, United States",within a day,0.75,0.9,False,2.0,True,True
7355,2009-02-03,"New York, New York, United States",within an hour,0.91,0.41,False,1.0,True,True
7702,2009-02-10,"New York, New York, United States",within a few hours,1.0,1.0,False,1.0,True,True
8198,2009-02-19,"New York, New York, United States",within a few hours,1.0,0.44,True,1.0,True,True
8730,2009-02-27,"New York, New York, United States",within an hour,1.0,1.0,False,1.0,True,True
8967,2009-03-03,"New York, New York, United States",within a day,1.0,1.0,False,1.0,True,False
9744,2009-03-10,"New York, New York, United States",within an hour,1.0,1.0,True,3.0,True,True
10135,2009-03-13,"San Francisco, California, United States",within a day,1.0,0.75,True,3.0,True,True
11481,2009-03-26,"New York, New York, United States",within a day,0.57,0.25,False,3.0,True,True
12220,2009-04-04,"New York, New York, United States",within an hour,1.0,0.93,True,2.0,True,True
14063,2009-04-19,"Brooklyn, New York, United States",within a few hours,1.0,0.67,False,1.0,True,True
15742,2009-05-04,"New York, New York, United States",within a day,0.5,0.0,False,1.0,True,True
15784,2009-05-04,US,within a day,1.0,1.0,False,2.0,True,True
16800,2009-05-12,"New York, New York, United States",within an hour,1.0,1.0,False,3.0,True,True
16866,2009-05-12,"Los Angeles, California, United States",within a few hours,1.0,0.94,False,3.0,True,True
17571,2009-05-17,"New York, New York, United States",within an hour,1.0,1.0,True,1.0,True,True
19402,2009-05-30,"New York, New York, United States",within a day,1.0,0.0,False,1.0,True,True
21823,2009-06-16,"New York, New York, United States",within a day,0.8,0.65,False,3.0,True,True
21904,2009-06-16,"New York, New York, United States",within an hour,1.0,0.83,True,1.0,True,True
22462,2009-06-20,"Brooklyn, New York, United States",within a day,0.8,0.91,True,1.0,True,True
