location,property_type,room_type,accommodates,bedrooms,has_wifi,has_ac,optimal_price_median,optimal_price_75
Bronx,Entire apartment,Entire place,1,1.0,Yes,No,61.68343602445478,61.68343602445478
Bronx,Entire apartment,Entire place,1,1.0,Yes,Yes,100.25531611365776,100.25531611365776
Bronx,Entire apartment,Entire place,2,1.0,No,No,84.90670429794575,84.90670429794575
Bronx,Entire apartment,Entire place,2,1.0,Yes,No,94.85785807970792,94.85785807970792
Bronx,Entire apartment,Entire place,2,1.0,Yes,Yes,88.64793337561812,101.68798500097134
Bronx,Entire apartment,Entire place,3,1.0,Yes,Yes,107.44841866551656,131.65722368092938
Bronx,Entire apartment,Entire place,3,2.0,Yes,Yes,156.0653360665176,156.0653360665176
Bronx,Entire apartment,Entire place,4,1.0,Yes,Yes,107.27927155217172,121.15850030842284
Bronx,Entire apartment,Entire place,4,2.0,No,Yes,112.24542231516126,137.67397366611146
Bronx,Entire apartment,Entire place,4,2.0,Yes,Yes,141.22903036676206,165.44531850695068
Bronx,Entire apartment,Entire place,5,1.0,Yes,Yes,93.32607038923751,95.57319168843848
Bronx,Entire apartment,Entire place,5,2.0,Yes,Yes,123.2121994834778,137.00209835923926
Bronx,Entire apartment,Entire place,5,3.0,Yes,Yes,266.13419513909065,279.5163237298254
Bronx,Entire apartment,Entire place,6,1.0,Yes,Yes,123.21777075851578,126.23881978083917
Bronx,Entire apartment,Entire place,6,2.0,Yes,Yes,123.8558901756694,145.79480147346345
Bronx,Entire apartment,Entire place,6,3.0,Yes,Yes,157.00999725689277,157.03919170119673
Bronx,Entire apartment,Entire place,7,3.0,Yes,Yes,194.824137854462,197.37719159209365
Bronx,Entire apartment,Entire place,7,4.0,Yes,Yes,172.8190910908651,172.8190910908651
Bronx,Entire apartment,Entire place,8,1.0,Yes,Yes,150.98516000808183,150.98516000808183
Bronx,Entire apartment,Entire place,8,3.0,Yes,No,85.47602904768104,85.47602904768104
Bronx,Entire apartment,Entire place,8,3.0,Yes,Yes,118.44794295662282,118.44794295662282
Bronx,Entire apartment,Entire place,9,4.0,Yes,Yes,291.24710497324315,291.24710497324315
Bronx,Entire apartment,Entire place,10,2.0,Yes,Yes,245.0436852810976,245.0436852810976
Bronx,Entire apartment,Entire place,11,3.0,Yes,Yes,127.22588600610892,127.22588600610892
Bronx,Entire apartment,Entire place,14,3.0,Yes,Yes,83.06555018628634,83.06555018628634
Bronx,Entire apartment,Entire place,15,2.0,No,Yes,299.2209342532986,299.2209342532986
Bronx,Entire condominium,Entire place,2,1.0,Yes,Yes,69.92941123766488,69.92941123766488
