location,property_type,room_type,accommodates,bedrooms,has_wifi,has_ac,optimal_price_median,optimal_price_75
New York,Barn,Entire place,5,1.0,1,1,197.41261633916778,197.41261633916778
New York,Boat,Entire place,4,1.0,1,1,126.8687738613271,126.8687738613271
New York,Camper/RV,Entire place,2,1.0,0,0,75.87876721306283,75.87876721306283
New York,Camper/RV,Entire place,2,1.0,1,1,77.95291105695057,79.031250969925
New York,Camper/RV,Entire place,3,1.0,0,0,73.33777565345278,73.44579378568235
New York,Camper/RV,Entire place,3,1.0,1,0,71.43400291398758,72.36566290413536
New York,Camper/RV,Entire place,7,2.0,1,1,114.44228412235074,114.44228412235074
New York,Entire apartment,Entire place,1,1.0,0,1,45.13477989188318,45.13477989188318
New York,Entire apartment,Entire place,1,1.0,1,0,98.73141996913321,101.52581686008804
New York,Entire apartment,Entire place,1,1.0,1,1,99.30083171499412,123.94184614014472
New York,Entire apartment,Entire place,1,2.0,1,1,125.51582190114382,125.94354881045055
New York,Entire apartment,Entire place,2,1.0,0,0,98.76818181974781,102.90903969366224
New York,Entire apartment,Entire place,2,1.0,0,1,119.26667729551994,157.29201297004641
New York,Entire apartment,Entire place,2,1.0,1,0,94.55809097072488,116.84233037263795
New York,Entire apartment,Entire place,2,1.0,1,1,109.34782539570902,149.04940438926275
New York,Entire apartment,Entire place,2,2.0,0,1,147.13501755627024,147.13501755627024
New York,Entire apartment,Entire place,2,2.0,1,0,93.16975024681983,123.53016485067451
New York,Entire apartment,Entire place,2,2.0,1,1,140.26665565117557,176.33554464100746
New York,Entire apartment,Entire place,2,3.0,1,1,29.857194597440333,29.857194597440333
New York,Entire apartment,Entire place,2,5.0,1,1,80.89327461185606,80.89327461185606
New York,Entire apartment,Entire place,2,21.0,1,1,198.61672912446463,198.61672912446463
New York,Entire apartment,Entire place,3,1.0,0,1,91.18482353258895,95.45212803537034
New York,Entire apartment,Entire place,3,1.0,1,0,108.39034507806798,136.83542772392883
New York,Entire apartment,Entire place,3,1.0,1,1,116.302124924029,151.16016913107504
New York,Entire apartment,Entire place,3,2.0,0,0,83.77089321506121,83.77089321506121
New York,Entire apartment,Entire place,3,2.0,0,1,95.47941884074841,95.47941884074841
New York,Entire apartment,Entire place,3,2.0,1,0,68.39102962541823,68.62546161457546
New York,Entire apartment,Entire place,3,2.0,1,1,123.5048512789229,157.71829568158066
New York,Entire apartment,Entire place,3,3.0,1,1,144.23627610695522,265.7473251210808
New York,Entire apartment,Entire place,4,1.0,0,0,107.35773346687269,107.35773346687269
New York,Entire apartment,Entire place,4,1.0,0,1,98.58256173070498,153.01459378414512
New York,Entire apartment,Entire place,4,1.0,1,0,90.30137104559658,152.19415734920284
New York,Entire apartment,Entire place,4,1.0,1,1,117.91947820835234,152.20824041343195
New York,Entire apartment,Entire place,4,2.0,0,0,221.54587606160197,287.9206313590385
New York,Entire apartment,Entire place,4,2.0,0,1,163.9689578068462,228.5457770317788
New York,Entire apartment,Entire place,4,2.0,1,0,116.1956430918622,145.9269668110297
New York,Entire apartment,Entire place,4,2.0,1,1,142.98389323665367,198.0618466595895
New York,Entire apartment,Entire place,4,3.0,1,0,233.76565264618088,233.76565264618088
New York,Entire apartment,Entire place,4,3.0,1,1,160.41576010544568,206.48697875722732
New York,Entire apartment,Entire place,4,4.0,1,0,106.1769125195924,106.1769125195924
New York,Entire apartment,Entire place,4,4.0,1,1,228.65621312938413,296.70507269217035
New York,Entire apartment,Entire place,5,1.0,0,1,326.31995196783254,326.31995196783254
New York,Entire apartment,Entire place,5,1.0,1,0,98.14159533999718,173.30445950015053
New York,Entire apartment,Entire place,5,1.0,1,1,120.35745157978576,154.39358915039614
New York,Entire apartment,Entire place,5,2.0,0,0,106.42897734188885,106.47489781843227
New York,Entire apartment,Entire place,5,2.0,1,0,135.91439358172303,150.84155606117537
New York,Entire apartment,Entire place,5,2.0,1,1,135.91273395068626,195.10042357366495
New York,Entire apartment,Entire place,5,3.0,1,0,133.8323706634257,150.68532405981307
New York,Entire apartment,Entire place,5,3.0,1,1,179.67135432704777,279.8534680204394
New York,Entire apartment,Entire place,5,6.0,1,1,57.25985192924577,57.25985192924577
New York,Entire apartment,Entire place,6,1.0,1,0,115.17186622921201,115.17186622921201
New York,Entire apartment,Entire place,6,1.0,1,1,110.44970715139564,140.56500341218126
New York,Entire apartment,Entire place,6,2.0,0,1,96.38993470203346,446.91988621922724
New York,Entire apartment,Entire place,6,2.0,1,0,121.70697937538807,150.06816944968006
New York,Entire apartment,Entire place,6,2.0,1,1,160.71393600490097,212.77538418172705
New York,Entire apartment,Entire place,6,3.0,0,0,194.19095830827064,194.19095830827064
New York,Entire apartment,Entire place,6,3.0,1,0,189.96059824831275,257.54637489944685
New York,Entire apartment,Entire place,6,3.0,1,1,183.4439151218412,263.13064458198596
New York,Entire apartment,Entire place,6,4.0,1,1,190.00181020004754,299.9544882162861
New York,Entire apartment,Entire place,7,1.0,0,1,195.32135851145065,195.32135851145065
New York,Entire apartment,Entire place,7,1.0,1,1,241.12398603621602,249.00513533631562
New York,Entire apartment,Entire place,7,2.0,1,0,220.86695102945683,220.86695102945683
New York,Entire apartment,Entire place,7,2.0,1,1,142.0463618362383,218.35555977352624
New York,Entire apartment,Entire place,7,3.0,1,1,188.74052283903757,241.8358690669712
New York,Entire apartment,Entire place,7,4.0,1,0,252.37953825611345,279.0301202021788
New York,Entire apartment,Entire place,7,4.0,1,1,198.6163271588638,215.6617746667177
New York,Entire apartment,Entire place,7,5.0,1,1,1515.7375925166511,1515.7375925166511
New York,Entire apartment,Entire place,8,1.0,1,1,127.01857433827504,140.2404502962873
New York,Entire apartment,Entire place,8,2.0,1,0,228.0871323439755,228.0871323439755
New York,Entire apartment,Entire place,8,2.0,1,1,162.00052522598577,216.39157721153978
New York,Entire apartment,Entire place,8,3.0,1,0,84.95823275417385,84.95823275417385
New York,Entire apartment,Entire place,8,3.0,1,1,181.51823818605786,243.1724156072829
New York,Entire apartment,Entire place,8,4.0,1,0,409.9039746026122,409.9039746026122
New York,Entire apartment,Entire place,8,4.0,1,1,264.62548128050497,421.4232132446368
New York,Entire apartment,Entire place,8,8.0,1,1,198.49235878788983,203.55967340594435
New York,Entire apartment,Entire place,9,1.0,1,1,244.96330436274917,244.96330436274917
New York,Entire apartment,Entire place,9,2.0,1,1,228.5861863619117,334.18348233008857
New York,Entire apartment,Entire place,9,3.0,1,0,156.61290753507762,156.61290753507762
New York,Entire apartment,Entire place,9,3.0,1,1,168.0733681277964,212.79591287397798
New York,Entire apartment,Entire place,9,4.0,1,1,276.80787300880917,355.1618331046168
New York,Entire apartment,Entire place,10,1.0,1,1,143.83601003372746,210.54814494588447
New York,Entire apartment,Entire place,10,2.0,1,1,192.0998906447876,346.0893993074205
New York,Entire apartment,Entire place,10,3.0,1,0,156.82974830504887,156.82974830504887
New York,Entire apartment,Entire place,10,3.0,1,1,242.13197244878538,261.31760884670047
New York,Entire apartment,Entire place,10,4.0,1,1,318.2114854684635,528.2568259753976
New York,Entire apartment,Entire place,10,5.0,1,0,305.21165490599344,305.21165490599344
New York,Entire apartment,Entire place,10,5.0,1,1,623.4199040910872,627.0054210079365
New York,Entire apartment,Entire place,11,3.0,1,1,132.1828622988358,134.44774642167368
New York,Entire apartment,Entire place,11,4.0,1,1,230.92226588746155,272.3147282077287
New York,Entire apartment,Entire place,11,5.0,1,1,521.5339691287713,538.651048336287
New York,Entire apartment,Entire place,12,2.0,1,1,215.8217605974246,279.29884942596493
New York,Entire apartment,Entire place,12,3.0,1,1,325.70835654259747,557.6088631087707
New York,Entire apartment,Entire place,12,4.0,1,1,337.71678143720976,350.96450272657376
New York,Entire apartment,Entire place,12,5.0,1,1,332.51799797214557,332.51799797214557
New York,Entire apartment,Entire place,12,6.0,1,1,1110.0877802330485,1110.0877802330485
New York,Entire apartment,Entire place,13,4.0,1,1,282.2608150294094,327.92737389428487
New York,Entire apartment,Entire place,13,5.0,1,1,390.44243184605006,473.4705525042599
New York,Entire apartment,Entire place,14,3.0,1,1,83.08726561535562,83.08726561535562
New York,Entire apartment,Entire place,14,4.0,1,1,372.1178960398512,377.58424676887495
New York,Entire apartment,Entire place,14,5.0,1,1,643.1754863168147,643.1754863168147
New York,Entire apartment,Entire place,15,2.0,0,1,300.80301242649597,300.80301242649597
New York,Entire apartment,Entire place,15,2.0,1,1,210.34307825395996,240.06832618780865
New York,Entire apartment,Entire place,15,5.0,1,1,1090.5193168192004,1090.5193168192004
New York,Entire apartment,Entire place,16,1.0,1,1,513.6822232888356,547.6718162283396
New York,Entire apartment,Entire place,16,2.0,1,1,138.606499969922,138.606499969922
