host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
2571,2008-08-27,"Brooklyn, New York, United States",within a few hours,0.93,0.67,t,1.0,t,t
2782,2008-09-07,"New York, New York, United States",within a day,1.0,0.57,t,2.0,t,t
2787,2008-09-07,"New York, New York, United States",within an hour,1.0,0.97,t,8.0,t,f
2868,2008-09-10,"New York, New York, United States",within a day,1.0,0.0,f,1.0,t,f
2881,2008-09-10,"Brooklyn, New York",within an hour,1.0,0.95,t,5.0,t,t
3647,2008-10-14,"New York, New York, United States",within an hour,1.0,0.71,t,4.0,t,t
4396,2008-11-19,"New York, New York, United States",within a few hours,0.89,0.51,f,3.0,t,t
4869,2008-12-07,"New York, New York, United States",within a few hours,0.98,0.93,f,1.0,t,t
5089,2008-12-12,"Brooklyn, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
7209,2009-01-29,"New York, New York, United States",within a day,0.75,0.9,f,2.0,t,t
7355,2009-02-03,"New York, New York, United States",within an hour,0.91,0.41,f,1.0,t,t
7702,2009-02-10,"New York, New York, United States",within a few hours,1.0,1.0,f,1.0,t,t
8198,2009-02-19,"New York, New York, United States",within a few hours,1.0,0.44,t,1.0,t,t
8730,2009-02-27,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
8967,2009-03-03,"New York, New York, United States",within a day,1.0,1.0,f,1.0,t,f
9744,2009-03-10,"New York, New York, United States",within an hour,1.0,1.0,t,3.0,t,t
10135,2009-03-13,"San Francisco, California, United States",within a day,1.0,0.75,t,3.0,t,t
11481,2009-03-26,"New York, New York, United States",within a day,0.57,0.25,f,3.0,t,t
12220,2009-04-04,"New York, New York, United States",within an hour,1.0,0.93,t,2.0,t,t
14063,2009-04-19,"Brooklyn, New York, United States",within a few hours,1.0,0.67,f,1.0,t,t
15742,2009-05-04,"New York, New York, United States",within a day,0.5,0.0,f,1.0,t,t
15784,2009-05-04,US,within a day,1.0,1.0,f,2.0,t,t
16800,2009-05-12,"New York, New York, United States",within an hour,1.0,1.0,f,3.0,t,t
16866,2009-05-12,"Los Angeles, California, United States",within a few hours,1.0,0.94,f,3.0,t,t
17571,2009-05-17,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
19402,2009-05-30,"New York, New York, United States",within a day,1.0,0.0,f,1.0,t,t
21823,2009-06-16,"New York, New York, United States",within a day,0.8,0.65,f,3.0,t,t
21904,2009-06-16,"New York, New York, United States",within an hour,1.0,0.83,t,1.0,t,t
22462,2009-06-20,"Brooklyn, New York, United States",within a day,0.8,0.91,t,1.0,t,t
24668,2009-07-07,"New York, New York, United States",within a few hours,1.0,0.75,t,1.0,t,t
25137,2009-07-10,"New York, New York, United States",within an hour,1.0,0.46,t,1.0,t,t
25183,2009-07-10,"New York, New York, United States",within an hour,1.0,0.95,f,2.0,t,t
25459,2009-07-13,"New York, New York, United States",within a day,0.5,0.98,f,1.0,t,t
26599,2009-07-21,"New York, New York, United States",within a day,0.6,0.75,f,2.0,t,t
26640,2009-07-21,"New York, New York, United States",a few days or more,0.0,0.0,f,2.0,t,t
27848,2009-07-27,"New York, New York, United States",within a few hours,1.0,0.5,f,6.0,t,t
28336,2009-07-28,"Chicago, Illinois, United States",within an hour,1.0,0.97,t,2.0,t,t
29096,2009-08-01,"New York, New York, United States",within an hour,1.0,1.0,t,1.0,t,t
32212,2009-08-17,"Vancouver, British Columbia, Canada",within an hour,1.0,0.74,t,1.0,t,t
33510,2009-08-24,Europe,within an hour,0.83,1.0,f,4.0,t,t
35935,2009-09-03,"New York, New York, United States",within an hour,1.0,1.0,f,0.0,t,t
36841,2009-09-07,"New York, New York, United States",within an hour,1.0,0.74,t,1.0,t,t
37879,2009-09-11,"New York, New York, United States",within a day,1.0,0.33,f,1.0,t,f
40275,2009-09-21,"New York, New York, United States",within a few hours,1.0,0.0,t,1.0,t,t
42032,2009-09-29,"New York, New York, United States",within a few hours,1.0,0.33,f,1.0,t,t
46978,2009-10-19,"New York, New York, United States",within a day,0.75,0.81,f,2.0,t,f
47532,2009-10-21,"New York, New York, United States",within a few hours,1.0,0.89,f,3.0,t,t
48165,2009-10-25,"New York, New York, United States",within a day,0.97,0.45,t,1.0,t,t
50124,2009-10-31,"New York, New York, United States",within a day,1.0,0.87,f,1.0,t,f
50148,2009-10-31,"Berkeley, California, United States",within a few hours,0.94,0.89,f,3.0,t,t
51038,2009-11-03,"New York, New York, United States",within an hour,1.0,0.85,f,8.0,t,t
53621,2009-11-12,"Brooklyn, New York, United States",within a day,1.0,0.78,t,2.0,t,t
54255,2009-11-14,"New York, New York, United States",within an hour,0.96,1.0,f,3.0,t,t
54275,2009-11-14,"New York, New York, United States",within a few hours,1.0,0.94,f,3.0,t,t
55121,2009-11-17,"New York, New York, United States",within a few hours,1.0,0.8,t,1.0,t,t
55164,2009-11-17,"New York, New York, United States",within a few hours,1.0,0.8,t,1.0,t,t
55176,2009-11-17,"New York, New York, United States",within an hour,1.0,1.0,f,1.0,t,t
56104,2009-11-20,"New York, New York, United States",within an hour,0.9,0.63,f,3.0,t,t
57101,2009-11-24,"New York, New York, United States",within an hour,1.0,0.71,t,1.0,t,t
57994,2009-11-27,"Brooklyn, New York, United States",within a few hours,1.0,0.88,t,1.0,t,t
58225,2009-11-28,"New York, New York, United States",within a day,1.0,0.5,f,1.0,t,t
59734,2009-12-03,"New York, New York, United States",within an hour,1.0,0.94,f,2.0,t,t
60046,2009-12-04,"Los Angeles, California, United States",within an hour,1.0,0.42,t,2.0,t,t
60252,2009-12-05,"New York, New York, United States",within a day,1.0,1.0,t,1.0,t,t
60278,2009-12-05,"New York, New York, United States",within a day,0.89,0.1,f,2.0,t,t
60787,2009-12-07,"New York, New York, United States",within a few hours,0.67,1.0,f,2.0,t,t
61042,2009-12-08,"New York, New York, United States",within an hour,1.0,0.99,f,7.0,t,t
61491,2009-12-09,"New York, New York, United States",within an hour,0.6,0.8,t,2.0,t,t
62345,2009-12-11,"New York, New York, United States",within a few hours,1.0,0.83,t,1.0,t,t
62583,2009-12-12,"New York, New York, United States",within a day,1.0,0.8,f,1.0,t,t
62734,2009-12-13,"New York, New York, United States",within a day,1.0,0.0,f,0.0,t,t
62803,2009-12-13,"New York, New York, United States",within an hour,1.0,0.8,t,4.0,t,f
63588,2009-12-16,"New York, New York, United States",within a day,1.0,0.38,t,2.0,t,t
63613,2009-12-16,"New York, New York, United States",within a few hours,0.9,0.29,f,2.0,t,f
